B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,GEO_ID,NAME,state,year
6946685,3453439,222981,230966,237590,141556,97291,53619,52584,148625,253812,235745,218187,213557,209738,209304,202117,78444,113409,73286,102747,140586,102589,64662,50044,3493246,213121,221866,229677,136026,93324,49596,48052,135879,234547,221707,215619,207857,210350,215871,218373,87314,129661,83283,116285,158048,114385,73900,78505,0400000US04,Arizona,04,2018
2990671,1468412,97632,100727,101296,61628,41456,23681,21953,59003,99732,94689,92867,90446,89915,95671,94127,35723,51462,31690,44633,56516,39873,24481,19211,1522259,92679,97057,96499,58425,39559,21003,20268,58498,100506,94492,95262,90009,92179,98715,101233,39087,55656,34795,49787,66603,48538,34362,37047,0400000US05,Arkansas,05,2018
39148760,19453769,1268862,1274390,1307143,785629,534964,300238,291051,861027,1571925,1467111,1335677,1271347,1287549,1280116,1203213,452961,602955,362895,472769,589271,405391,273776,253509,19694991,1211817,1224929,1249526,751359,511626,272441,270702,814171,1470739,1394237,1309353,1268788,1290222,1297966,1262708,483344,653217,402402,540203,693891,499498,373791,448061,0400000US06,California,06,2018
5531141,2780831,171155,182468,183742,107404,75396,38768,39582,119777,221913,219400,199031,185937,181419,178165,178485,67167,93106,56955,73215,87863,56335,33978,29570,2750310,164044,172931,175592,102483,69347,34859,35734,109267,204719,203125,191163,173146,175971,179799,184516,72993,97899,60055,78215,99528,65456,45975,53493,0400000US08,Colorado,08,2018
949495,459570,27813,27532,30043,17767,12533,6729,6234,18042,33137,30102,27662,25972,28892,31832,31908,12523,16403,11587,14791,19562,13733,7817,6956,489925,27041,27634,28633,16963,12535,6891,6062,17064,32966,30153,28834,27770,31116,34613,36267,12946,19754,13216,17727,22783,16928,10547,11482,0400000US10,Delaware,10,2018
684498,324881,22724,17266,13562,7924,9721,5493,5610,13801,37850,36999,28413,20714,19244,19208,17978,6526,8470,4706,6276,9434,5706,3549,3707,359617,21968,16462,14001,7830,11942,6127,5333,17753,44563,40304,29082,20967,19030,18978,18475,7425,11043,6290,8827,11387,8783,5798,7249,0400000US11,District of Columbia,11,2018
3581504,1747131,94768,101921,115164,73109,53233,25649,25684,75761,113032,109545,103316,105773,120774,132434,129374,48708,64859,37397,50620,64036,43544,28605,29825,1834373,90215,99085,108971,69392,51448,25902,24184,68310,106947,110324,107236,110698,128414,140516,136796,52427,69955,41013,57061,77287,55333,43497,59362,0400000US09,Connecticut,09,2018
20598139,10071925,570515,579011,599823,369269,248252,139126,132153,385932,699552,650704,617492,618774,653838,695182,666945,258102,355805,234111,339287,468884,353420,231596,204152,10526214,546905,552728,577156,353145,230440,132337,128463,366157,674394,641298,629548,627945,672627,727190,732485,286049,414421,273603,388966,542743,403820,292005,331789,0400000US12,Florida,12,2018
10297484,5012229,335188,357301,363608,218482,148729,80033,74218,213036,362366,338616,334236,330002,343056,340861,314971,118196,152215,92412,129611,159804,101876,59748,43664,5285255,320622,339831,354535,211728,142267,72963,70935,207461,365322,353480,356064,352249,361891,361447,341093,129881,178312,108999,150647,193751,132646,89416,89715,0400000US13,Georgia,13,2018
1687809,845564,57945,63203,64606,38489,23499,12376,11366,35578,56883,54666,55210,50499,49737,50218,50707,21045,29642,18846,25230,30975,21128,13172,10544,842245,56219,60162,62390,36162,22483,11899,10927,31239,54597,54060,53223,50272,48399,50705,54800,20943,29859,19562,25567,33420,22757,15359,17241,0400000US16,Idaho,16,2018
1422029,713772,46487,43770,42966,24119,15904,10783,10900,32176,55520,51456,45573,44904,43746,44538,45570,18777,25405,17589,22865,26963,18110,12013,13638,708257,43901,41344,40701,23213,14438,7442,8410,27108,49267,48892,45560,41907,43226,45115,47219,18834,26903,18366,23878,29417,20523,17498,25095,0400000US15,Hawaii,15,2018
12821497,6295915,397436,408589,427108,260062,172162,88740,90422,266135,454479,443198,420224,404320,413405,428672,423041,161290,214985,126371,164710,210099,141562,95207,83698,6525582,379521,393757,409848,250240,165114,86413,84799,258808,443317,438307,421333,406176,422013,442449,445723,171572,232936,141820,186378,250247,184258,140699,169854,0400000US17,Illinois,17,2018
6637426,3271068,214555,223689,228198,139211,95055,49742,51584,144082,220237,209798,209675,200135,209750,219912,218036,84381,116561,69721,89334,111555,75560,49330,40967,3366358,203744,213565,217808,133523,90559,51239,48202,132855,217332,209565,209727,202177,209651,225242,230896,87895,122782,75016,102245,129824,97057,70047,85407,0400000US18,Indiana,18,2018
3132499,1554481,100506,104367,105386,62435,47632,24697,23990,68978,99723,101108,99404,88682,93739,101437,104817,42679,57561,34355,44239,55674,40005,27572,25495,1578018,96924,99659,100772,59983,44690,23953,22498,64656,96093,96609,95418,87513,92343,102069,108571,41219,59076,35348,48052,62021,49756,39373,51422,0400000US19,Iowa,19,2018
