GEO_ID,NAME,state,year,variable,value,label,concept
0400000US20,Kansas,20,2020,B01001_001E,2912619,Estimate!!Total:,Sex by Age
0400000US40,Oklahoma,40,2020,B01001_001E,3949342,Estimate!!Total:,Sex by Age
0400000US55,Wisconsin,55,2020,B01001_001E,5806975,Estimate!!Total:,Sex by Age
0400000US28,Mississippi,28,2020,B01001_001E,2981835,Estimate!!Total:,Sex by Age
0400000US29,Missouri,29,2020,B01001_001E,6124160,Estimate!!Total:,Sex by Age
0400000US26,Michigan,26,2020,B01001_001E,9973907,Estimate!!Total:,Sex by Age
0400000US44,Rhode Island,44,2020,B01001_001E,1057798,Estimate!!Total:,Sex by Age
0400000US27,Minnesota,27,2020,B01001_001E,5600166,Estimate!!Total:,Sex by Age
0400000US19,Iowa,19,2020,B01001_001E,3150011,Estimate!!Total:,Sex by Age
0400000US35,New Mexico,35,2020,B01001_001E,2097021,Estimate!!Total:,Sex by Age
0400000US32,Nevada,32,2020,B01001_001E,3030281,Estimate!!Total:,Sex by Age
0400000US10,Delaware,10,2020,B01001_001E,967679,Estimate!!Total:,Sex by Age
0400000US72,Puerto Rico,72,2020,B01001_001E,3255642,Estimate!!Total:,Sex by Age
0400000US21,Kentucky,21,2020,B01001_001E,4461952,Estimate!!Total:,Sex by Age
0400000US46,South Dakota,46,2020,B01001_001E,879336,Estimate!!Total:,Sex by Age
0400000US47,Tennessee,47,2020,B01001_001E,6772268,Estimate!!Total:,Sex by Age
0400000US01,Alabama,01,2021,B01001_001E,4997675,Estimate!!Total:,Sex by Age
0400000US02,Alaska,02,2021,B01001_001E,735951,Estimate!!Total:,Sex by Age
0400000US04,Arizona,04,2021,B01001_001E,7079203,Estimate!!Total:,Sex by Age
0400000US05,Arkansas,05,2021,B01001_001E,3006309,Estimate!!Total:,Sex by Age
0400000US06,California,06,2021,B01001_001E,39455353,Estimate!!Total:,Sex by Age
0400000US08,Colorado,08,2021,B01001_001E,5723176,Estimate!!Total:,Sex by Age
0400000US09,Connecticut,09,2021,B01001_001E,3605330,Estimate!!Total:,Sex by Age
0400000US10,Delaware,10,2021,B01001_001E,981892,Estimate!!Total:,Sex by Age
0400000US11,District of Columbia,11,2021,B01001_001E,683154,Estimate!!Total:,Sex by Age
0400000US12,Florida,12,2021,B01001_001E,21339762,Estimate!!Total:,Sex by Age
0400000US13,Georgia,13,2021,B01001_001E,10625615,Estimate!!Total:,Sex by Age
0400000US15,Hawaii,15,2021,B01001_001E,1453498,Estimate!!Total:,Sex by Age
0400000US16,Idaho,16,2021,B01001_001E,1811617,Estimate!!Total:,Sex by Age
0400000US17,Illinois,17,2021,B01001_001E,12821813,Estimate!!Total:,Sex by Age
0400000US18,Indiana,18,2021,B01001_001E,6751340,Estimate!!Total:,Sex by Age
0400000US19,Iowa,19,2021,B01001_001E,3179090,Estimate!!Total:,Sex by Age
0400000US20,Kansas,20,2021,B01001_001E,2932099,Estimate!!Total:,Sex by Age
0400000US21,Kentucky,21,2021,B01001_001E,4494141,Estimate!!Total:,Sex by Age
0400000US22,Louisiana,22,2021,B01001_001E,4657305,Estimate!!Total:,Sex by Age
0400000US23,Maine,23,2021,B01001_001E,1357046,Estimate!!Total:,Sex by Age
0400000US24,Maryland,24,2021,B01001_001E,6148545,Estimate!!Total:,Sex by Age
0400000US25,Massachusetts,25,2021,B01001_001E,6991852,Estimate!!Total:,Sex by Age
0400000US26,Michigan,26,2021,B01001_001E,10062512,Estimate!!Total:,Sex by Age
0400000US27,Minnesota,27,2021,B01001_001E,5670472,Estimate!!Total:,Sex by Age
0400000US28,Mississippi,28,2021,B01001_001E,2967023,Estimate!!Total:,Sex by Age
0400000US29,Missouri,29,2021,B01001_001E,6141534,Estimate!!Total:,Sex by Age
0400000US30,Montana,30,2021,B01001_001E,1077978,Estimate!!Total:,Sex by Age
0400000US31,Nebraska,31,2021,B01001_001E,1951480,Estimate!!Total:,Sex by Age
0400000US32,Nevada,32,2021,B01001_001E,3059238,Estimate!!Total:,Sex by Age
0400000US33,New Hampshire,33,2021,B01001_001E,1372175,Estimate!!Total:,Sex by Age
0400000US34,New Jersey,34,2021,B01001_001E,9234024,Estimate!!Total:,Sex by Age
0400000US35,New Mexico,35,2021,B01001_001E,2109366,Estimate!!Total:,Sex by Age
0400000US36,New York,36,2021,B01001_001E,20114745,Estimate!!Total:,Sex by Age
0400000US37,North Carolina,37,2021,B01001_001E,10367022,Estimate!!Total:,Sex by Age
0400000US38,North Dakota,38,2021,B01001_001E,773344,Estimate!!Total:,Sex by Age
0400000US39,Ohio,39,2021,B01001_001E,11769923,Estimate!!Total:,Sex by Age
0400000US40,Oklahoma,40,2021,B01001_001E,3948136,Estimate!!Total:,Sex by Age
0400000US41,Oregon,41,2021,B01001_001E,4207177,Estimate!!Total:,Sex by Age
0400000US42,Pennsylvania,42,2021,B01001_001E,12970650,Estimate!!Total:,Sex by Age
0400000US44,Rhode Island,44,2021,B01001_001E,1091949,Estimate!!Total:,Sex by Age
0400000US45,South Carolina,45,2021,B01001_001E,5078903,Estimate!!Total:,Sex by Age
0400000US46,South Dakota,46,2021,B01001_001E,881785,Estimate!!Total:,Sex by Age
0400000US47,Tennessee,47,2021,B01001_001E,6859497,Estimate!!Total:,Sex by Age
0400000US48,Texas,48,2021,B01001_001E,28862581,Estimate!!Total:,Sex by Age
0400000US49,Utah,49,2021,B01001_001E,3231370,Estimate!!Total:,Sex by Age
0400000US50,Vermont,50,2021,B01001_001E,641637,Estimate!!Total:,Sex by Age
0400000US51,Virginia,51,2021,B01001_001E,8582479,Estimate!!Total:,Sex by Age
0400000US53,Washington,53,2021,B01001_001E,7617364,Estimate!!Total:,Sex by Age
0400000US54,West Virginia,54,2021,B01001_001E,1801049,Estimate!!Total:,Sex by Age
0400000US55,Wisconsin,55,2021,B01001_001E,5871661,Estimate!!Total:,Sex by Age
0400000US56,Wyoming,56,2021,B01001_001E,576641,Estimate!!Total:,Sex by Age
0400000US72,Puerto Rico,72,2021,B01001_001E,3311274,Estimate!!Total:,Sex by Age
0400000US01,Alabama,01,2022,B01001_001E,5028092,Estimate!!Total:,Sex by Age
0400000US02,Alaska,02,2022,B01001_001E,734821,Estimate!!Total:,Sex by Age
0400000US04,Arizona,04,2022,B01001_001E,7172282,Estimate!!Total:,Sex by Age
0400000US05,Arkansas,05,2022,B01001_001E,3018669,Estimate!!Total:,Sex by Age
0400000US06,California,06,2022,B01001_001E,39356104,Estimate!!Total:,Sex by Age
0400000US08,Colorado,08,2022,B01001_001E,5770790,Estimate!!Total:,Sex by Age
0400000US09,Connecticut,09,2022,B01001_001E,3611317,Estimate!!Total:,Sex by Age
0400000US10,Delaware,10,2022,B01001_001E,993635,Estimate!!Total:,Sex by Age
0400000US11,District of Columbia,11,2022,B01001_001E,670587,Estimate!!Total:,Sex by Age
0400000US12,Florida,12,2022,B01001_001E,21634529,Estimate!!Total:,Sex by Age
0400000US13,Georgia,13,2022,B01001_001E,10722325,Estimate!!Total:,Sex by Age
0400000US15,Hawaii,15,2022,B01001_001E,1450589,Estimate!!Total:,Sex by Age
0400000US16,Idaho,16,2022,B01001_001E,1854109,Estimate!!Total:,Sex by Age
0400000US17,Illinois,17,2022,B01001_001E,12757634,Estimate!!Total:,Sex by Age
0400000US18,Indiana,18,2022,B01001_001E,6784403,Estimate!!Total:,Sex by Age
0400000US19,Iowa,19,2022,B01001_001E,3188836,Estimate!!Total:,Sex by Age
0400000US20,Kansas,20,2022,B01001_001E,2935922,Estimate!!Total:,Sex by Age
0400000US21,Kentucky,21,2022,B01001_001E,4502935,Estimate!!Total:,Sex by Age
0400000US22,Louisiana,22,2022,B01001_001E,4640546,Estimate!!Total:,Sex by Age
0400000US23,Maine,23,2022,B01001_001E,1366949,Estimate!!Total:,Sex by Age
0400000US24,Maryland,24,2022,B01001_001E,6161707,Estimate!!Total:,Sex by Age
0400000US25,Massachusetts,25,2022,B01001_001E,6984205,Estimate!!Total:,Sex by Age
0400000US26,Michigan,26,2022,B01001_001E,10057921,Estimate!!Total:,Sex by Age
0400000US27,Minnesota,27,2022,B01001_001E,5695292,Estimate!!Total:,Sex by Age
0400000US28,Mississippi,28,2022,B01001_001E,2958846,Estimate!!Total:,Sex by Age
0400000US29,Missouri,29,2022,B01001_001E,6154422,Estimate!!Total:,Sex by Age
0400000US30,Montana,30,2022,B01001_001E,1091840,Estimate!!Total:,Sex by Age
0400000US31,Nebraska,31,2022,B01001_001E,1958939,Estimate!!Total:,Sex by Age
0400000US32,Nevada,32,2022,B01001_001E,3104817,Estimate!!Total:,Sex by Age
0400000US33,New Hampshire,33,2022,B01001_001E,1379610,Estimate!!Total:,Sex by Age
0400000US34,New Jersey,34,2022,B01001_001E,9249063,Estimate!!Total:,Sex by Age
